textid	target	model	tokenizer	predicted	prob
2413124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740022838115692
1962124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400100231170654
2337124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739945352077484
919124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739899754524231
741124	14	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27402782440185547
1171124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.273996502161026
2323124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740064263343811
648124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27401161193847656
781124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399852871894836
669124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739945948123932
2181124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739989459514618
1283124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399516105651855
1486124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399373054504395
2061124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740408182144165
2366124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400651574134827
1372124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399834990501404
611124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399301528930664
1221124	12	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739904522895813
630124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739880084991455
1384124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399152517318726
2001124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739905118942261
861124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740183472633362
2341124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399757504463196
1696124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400368452072144
565124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740165889263153
2111124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399155497550964
105124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739938795566559
1180124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740035355091095
655124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739933431148529
1484124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739906907081604
853124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739904820919037
998124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399733662605286
1902124	17	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739907503128052
2053124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739907205104828
1761124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739943861961365
1031124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.273994117975235
1875124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739950716495514
2264124	7	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400028705596924
1200124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740052342414856
240124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740197479724884
455124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740023732185364
918124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739969491958618
1006124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399319410324097
460124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740057408809662
880124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740064561367035
2325124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27401354908943176
1458124	16	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739907205104828
1189124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740020453929901
2148124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739909589290619
738124	14	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740025818347931
2400124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739952504634857
708124	17	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400046586990356
2116124	13	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399083971977234
1108124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400004863739014
1868124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.273992121219635
836124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739945352077484
2443124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400025725364685
783124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740083634853363
108124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739940583705902
928124	13	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740015387535095
2105124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399495244026184
1901124	17	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399447560310364
473124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739946246147156
585124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399611473083496
1235124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399951219558716
1218124	12	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399131655693054
1075124	18	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.273998886346817
899124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400073409080505
2241124	18	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399343252182007
233124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399319410324097
158124	16	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740042209625244
1213124	12	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400195598602295
45124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739913761615753
1176124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399560809135437
